day,activity,transport,stay
0,【到达日】飞抵夏威夷州，前往夏威夷,✈️ 国际航班,夏威夷
1,威基基海滩、钻石山,🚶 步行,檀香山
2,珍珠港、恐龙湾,🚗 自驾,檀香山
3,北岸、日落海滩,🚗 自驾,檀香山
4,火山公园,🚗 自驾,大岛
5,科纳咖啡园、黑沙滩,🚗 自驾,大岛
6,哈纳之路,🚗 自驾,茂宜岛
7,拉海纳小镇,🚗 自驾,茂宜岛
8,威美亚峡谷,🚗 自驾,可爱岛
9,波伊普海滩,🚗 自驾,可爱岛
10,【大交通】前往旧金山，开始1号公路,🚆/✈️ 可爱岛→檀香山(1.50h飞机（0.50h飞行 + 1.0h安检）) → 檀香山→旧金山(6.50h飞机（5.50h飞行 + 1.0h安检）),旧金山
11,旧金山→蒙特雷、17英里、卡梅尔小镇,🚗 自驾,蒙特雷
12,蒙特雷→大苏尔，Bixby Bridge，McWay Falls,🚗 自驾,大苏尔
13,大苏尔→SLO小镇，Pismo Beach日落，挖蛤蜊,🚗 自驾,SLO
14,SLO→丹麦小镇Solvang→圣巴巴拉→洛杉矶 + 适时前往 圣地亚哥,当地 | 跨城:🚗 洛杉矶→圣地亚哥 自驾 1.82h,圣地亚哥
15,中途岛航母、拉霍亚海滩,🚗 自驾,圣地亚哥
16,巴尔博亚公园、动物园,🚗 自驾,圣地亚哥
17,【离开日】从圣地亚哥前往洛杉矶，飞离,✈️ 国际航班,-
