day,activity,transport,stay
0,【到达日】飞抵巴塞罗那，前往特内里费岛,✈️ 国际航班,特内里费岛
1,泰德峰：登山/观星、云海,🚗 自驾,特内里费岛
2,Siam水上乐园、观鲸,🚗 自驾,特内里费岛
3,南部海滩、黑沙滩,🚗 自驾,特内里费岛
4,【跨城大交通】全天移动及办理入住,🚆/✈️ 特内里费岛→法兰克福(5.92h飞机（4.92h飞行 + 1.0h安检）) → 法兰克福→罗腾堡(2.00h自驾),罗腾堡
5,中世纪古城墙、市政厅广场、步云莱,🚶 步行,罗腾堡
6,【跨城大交通】全天移动及办理入住,🚆/✈️ 罗腾堡→法兰克福(2.00h自驾) → 法兰克福→苏黎世(1.83h飞机（0.83h飞行 + 1.0h安检）) → 苏黎世→卢塞恩(0.80h火车),卢塞恩
7,狮子纪念碑、卡佩尔廊桥,🚶 步行,卢塞恩
8,瑞吉山、皮拉图斯山 + 适时前往 蔚蓝海岸（尼斯/摩纳哥/戛纳）,当地 | 跨城:🚆/✈️ 卢塞恩→苏黎世(0.80h火车) → 苏黎世→尼斯(2.17h飞机（1.17h飞行 + 1.0h安检）) → 尼斯→蔚蓝海岸（尼斯/摩纳哥/戛纳）(0.25h火车),蔚蓝海岸（尼斯/摩纳哥/戛纳）
9,尼斯：老城、天使湾,🚶 步行,尼斯
10,埃兹小镇、摩纳哥,🚗 自驾,尼斯
11,戛纳，返回 + 适时前往 马略卡岛,当地 | 跨城:🚆/✈️ 蔚蓝海岸（尼斯/摩纳哥/戛纳）→尼斯(0.25h火车) → 尼斯→帕尔马(2.50h飞机（1.50h飞行 + 1.0h安检）) → 帕尔马→马略卡岛(0.25h自驾),马略卡岛
12,帕尔马：教堂、海滩,🚶 步行,帕尔马
13,北部山区：瓦尔德莫萨,🚗 自驾,帕尔马
14,【跨城大交通】全天移动及办理入住,🚆/✈️ 帕尔马→马德里(2.33h飞机（1.33h飞行 + 1.0h安检）) → 马德里→波尔图(2.33h飞机（1.33h飞行 + 1.0h安检）),波尔图
15,杜罗河畔、波特酒窖,🚶 步行,波尔图
16,莱罗书店、返回,🚶 步行,波尔图
17,【跨城大交通】全天移动及办理入住,🚆/✈️ 波尔图→马德里(2.33h飞机（1.33h飞行 + 1.0h安检）) → 马德里→霞慕尼(2.92h飞机（1.92h飞行 + 1.0h安检）),霞慕尼
18,日内瓦→霞慕尼，勃朗峰，前往安纳西（🚗 自驾1.5h）,🚗 自驾约1.5h,安纳西
19,日内瓦→安纳西，安纳西湖、老城漫步,🚗 自驾1.15h,安纳西
20,【跨城大交通】全天移动及办理入住,🚆/✈️ 安纳西→日内瓦(0.80h火车) → 日内瓦→罗马(2.58h飞机（1.58h飞行 + 1.0h安检）) → 罗马→托斯卡纳(2.78h自驾),托斯卡纳
21,佛罗伦萨→奥尔恰谷，田园风光,🚗 自驾2h,托斯卡纳
22,皮恩扎、蒙特普尔恰诺,🚗 自驾,托斯卡纳
23,天空之城，返回,🚗 自驾,托斯卡纳
24,【离开日】从托斯卡纳前往罗马，飞离,✈️ 国际航班,-
