day,activity,transport,stay
0,【到达日】飞抵格拉纳达，前往格拉纳达,✈️ 国际航班,格拉纳达
1,阿尔罕布拉宫,🚶 步行,格拉纳达
2,【跨城大交通】全天移动及办理入住,🚆/✈️ 格拉纳达→巴塞罗那(2.50h飞机（1.50h飞行 + 1.0h安检）) → 巴塞罗那→伊斯坦布尔(4.50h飞机（3.50h飞行 + 1.0h安检）),伊斯坦布尔
3,蓝色清真寺、圣索菲亚大教堂,🚶 步行,伊斯坦布尔
4,大巴扎、香料市场,🚶 步行,伊斯坦布尔
5,博斯普鲁斯海峡、返回 + 适时前往 巴勒莫,当地 | 跨城:✈️ 伊斯坦布尔→巴勒莫 飞机 3.22h（2.22h飞行 + 1.0h安检）,巴勒莫
6,巴勒莫→阿格里真托，土耳其阶梯,🚗 自驾,阿格里真托
7,阿格里真托，神殿之谷,-,阿格里真托
8,阿格里真托→锡拉库萨,🚗 自驾3h,锡拉库萨
9,锡拉库萨→陶尔米纳,🚗 自驾,陶尔米纳
10,陶尔米纳→切法卢,🚗 自驾1.5h,切法卢
11,切法卢→巴勒莫，返回 + 适时前往 伦敦,当地 | 跨城:✈️ 巴勒莫→伦敦 飞机 3.78h（2.78h飞行 + 1.0h安检）,伦敦
12,大英博物馆、特拉法加广场,🚶 步行,伦敦
13,白金汉宫、西敏寺、大本钟,🚶 步行,伦敦
14,伦敦塔、塔桥、泰晤士河,🚶 步行,伦敦
15,剑桥或牛津一日游 + 适时前往 里斯本,当地 | 跨城:✈️ 伦敦→里斯本 飞机 3.75h（2.75h飞行 + 1.0h安检）,里斯本
16,贝伦塔、哲罗姆派修道院,🚶 步行,里斯本
17,罗卡角、阿尔法玛老城,🚶 步行,里斯本
18,【离开日】从里斯本前往马德里，飞离,✈️ 国际航班,-
